Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.024638736;118.0;4.0;114.0;96.61016949152543;59.0;2.0;57.0;96.61016949152543
0.038286129;40.0;4.0;36.0;90.0;20.0;2.0;18.0;90.0
0.559813028;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
0.014875486;38.0;4.0;34.0;89.47368421052632;19.0;2.0;17.0;89.47368421052632
0.013896878;50.0;4.0;46.0;92.0;25.0;2.0;23.0;92.0
1.218010822;44.0;4.0;40.0;90.9090909090909;22.0;2.0;20.0;90.9090909090909
0.032825282;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.036784088;58.0;4.0;54.0;93.10344827586206;29.0;2.0;27.0;93.10344827586206
0.030886487;94.0;6.0;88.0;93.61702127659575;47.0;3.0;44.0;93.61702127659575
0.016328986;140.0;4.0;136.0;97.14285714285714;70.0;2.0;68.0;97.14285714285714
1.042380195;147.0;9.0;138.0;93.87755102040816;73.0;4.0;69.0;94.52054794520548
1.089636143;21.0;9.0;12.0;57.14285714285714;10.0;4.0;6.0;60.0
7.184764123;51.0;9.0;42.0;82.35294117647058;25.0;4.0;21.0;84.0
1.029309825;33.0;9.0;24.0;72.72727272727273;16.0;4.0;12.0;75.0
44.654051584;373.0;9.0;364.0;97.58713136729223;186.0;4.0;182.0;97.84946236559139
4.591987145;29.0;9.0;20.0;68.96551724137932;14.0;4.0;10.0;71.42857142857143
8.802541533;57.0;9.0;48.0;84.21052631578947;28.0;4.0;24.0;85.71428571428571
0.532819733;193.0;9.0;184.0;95.33678756476684;96.0;4.0;92.0;95.83333333333334
1.055858021;41.0;9.0;32.0;78.04878048780488;20.0;4.0;16.0;80.0
1.57742221;27.0;9.0;18.0;66.66666666666666;13.0;4.0;9.0;69.23076923076923
